Boro Code,Boro Ct,CT,County,Geometry,LRS,Number of Records,Boro Code1,Boro Ct201,Boro Name,Cdeligibil,Ct2010,Ctlabel,Ntacode,Ntaname,Puma,Shape Area,Shape Leng
3,3040000,040000,Kings County,POLYGON,23.6,1,3,3040000,Brooklyn,E,040000,400,BK29,Bensonhurst East,4017,2058373.04678,6639.76357077
3,3040100,040100,Kings County,POLYGON,34.8,1,3,3040100,Brooklyn,E,040100,401,BK78,Bushwick South,4002,1718318.94334,5246.3001646
3,3040200,040200,Kings County,POLYGON,24.1,1,3,3040200,Brooklyn,E,040200,402,BK29,Bensonhurst East,4017,2126179.77578,5858.27177201
3,3040300,040300,Kings County,POLYGON,31.8,1,3,3040300,Brooklyn,E,040300,403,BK78,Bushwick South,4002,2208071.8948,6937.01786515
3,3040400,040400,Kings County,POLYGON,23.3,1,3,3040400,Brooklyn,E,040400,404,BK29,Bensonhurst East,4017,1653839.79122,7953.54164887
3,3040500,040500,Kings County,POLYGON,35,1,3,3040500,Brooklyn,E,040500,405,BK78,Bushwick South,4002,1496440.20881,5083.97756293
3,3040600,040600,Kings County,POLYGON,24.1,1,3,3040600,Brooklyn,E,040600,406,BK29,Bensonhurst East,4017,1582378.66617,5548.54635967
3,3040700,040700,Kings County,POLYGON,,1,3,3040700,Brooklyn,I,040700,407,BK99,park-cemetery-etc-Brooklyn,4002,5589606.63205,10955.1514035
3,3040800,040800,Kings County,POLYGON,26.1,1,3,3040800,Brooklyn,E,040800,408,BK29,Bensonhurst East,4017,1654268.74397,5629.30255166
3,3040900,040900,Kings County,POLYGON,34.3,1,3,3040900,Brooklyn,E,040900,409,BK77,Bushwick North,4002,1773606.7665,5315.53776309
3,3041000,041000,Kings County,POLYGON,19.9,1,3,3041000,Brooklyn,E,041000,410,BK29,Bensonhurst East,4017,1537209.75085,5990.26516816
3,3043400,043400,Kings County,POLYGON,23,1,3,3043400,Brooklyn,E,043400,434,BK29,Bensonhurst East,4017,1509164.80773,5543.21149162
3,3043500,043500,Kings County,POLYGON,36,1,3,3043500,Brooklyn,E,043500,435,BK77,Bushwick North,4002,1810895.36272,5385.05187224
3,3043600,043600,Kings County,POLYGON,22.5,1,3,3043600,Brooklyn,E,043600,436,BK29,Bensonhurst East,4017,1480301.67722,5828.14367038
3,3043700,043700,Kings County,POLYGON,34.4,1,3,3043700,Brooklyn,E,043700,437,BK77,Bushwick North,4002,1809983.84481,5385.65937893
3,3043800,043800,Kings County,POLYGON,24.3,1,3,3043800,Brooklyn,E,043800,438,BK46,Ocean Parkway South,4014,1671530.4516,5435.94197412
3,3043900,043900,Kings County,POLYGON,33.8,1,3,3043900,Brooklyn,E,043900,439,BK77,Bushwick North,4002,2152392.8308,8162.50386298
3,3041600,041600,Kings County,POLYGON,23.9,1,3,3041600,Brooklyn,E,041600,416,BK25,Homecrest,4016,1749784.70103,6169.28079829
3,3041700,041700,Kings County,POLYGON,34.8,1,3,3041700,Brooklyn,E,041700,417,BK78,Bushwick South,4002,1519400.53544,5025.01524971
3,3041800,041800,Kings County,POLYGON,24.1,1,3,3041800,Brooklyn,E,041800,418,BK25,Homecrest,4016,1773170.32025,6582.86596921
3,3041900,041900,Kings County,POLYGON,34.2,1,3,3041900,Brooklyn,E,041900,419,BK78,Bushwick South,4002,1646861.67094,5222.70054089
3,3042000,042000,Kings County,POLYGON,19.7,1,3,3042000,Brooklyn,E,042000,420,BK25,Homecrest,4016,1820929.02037,6966.65488478
3,3042100,042100,Kings County,POLYGON,32.2,1,3,3042100,Brooklyn,E,042100,421,BK78,Bushwick South,4002,1651413.35337,5252.77145469
3,3042200,042200,Kings County,POLYGON,24.4,1,3,3042200,Brooklyn,I,042200,422,BK25,Homecrest,4016,2443185.63407,6172.10886084
3,3042300,042300,Kings County,POLYGON,32.8,1,3,3042300,Brooklyn,E,042300,423,BK78,Bushwick South,4002,1961468.14766,5572.23498791
3,3042400,042400,Kings County,POLYGON,23.1,1,3,3042400,Brooklyn,E,042400,424,BK29,Bensonhurst East,4017,1733612.8948,6586.20084444
3,3042500,042500,Kings County,POLYGON,35.7,1,3,3042500,Brooklyn,E,042500,425,BK78,Bushwick South,4002,1806379.81084,5251.9396789
3,3042600,042600,Kings County,POLYGON,21.7,1,3,3042600,Brooklyn,E,042600,426,BK29,Bensonhurst East,4017,1829969.14358,5548.58054852
3,3042700,042700,Kings County,POLYGON,37.2,1,3,3042700,Brooklyn,E,042700,427,BK77,Bushwick North,4002,1595494.71384,5232.28859406
3,3042800,042800,Kings County,POLYGON,19.9,1,3,3042800,Brooklyn,E,042800,428,BK29,Bensonhurst East,4017,1773181.65751,6669.64588251
3,3042900,042900,Kings County,POLYGON,37.4,1,3,3042900,Brooklyn,E,042900,429,BK77,Bushwick North,4002,1809836.561,5385.17064853
3,3043000,043000,Kings County,POLYGON,25.1,1,3,3043000,Brooklyn,E,043000,430,BK29,Bensonhurst East,4017,1721309.63581,6283.85111202
